index,timestamp,category,title,filename,method,chosen_candidate,note
1,00:15:53,concept-intro,Data grid variable type introduced,001_001553_data-grid-variable-type-introduced.jpg,vision-verified,001_001553_data-grid-variable-type-introduced__c1_t977.jpg,"Shows the variable editor with 'Tipo variabile' set to DataGrid, the moment the data-grid variable type is introduced."
2,00:18:07,demo-start,Linking a data grid to a table,002_001807_linking-a-data-grid-to-a-table.jpg,vision-verified,002_001807_linking-a-data-grid-to-a-table__c3_t1159.jpg,"Shows the COLONNE tab of the table link dialog with CODICE and DESCRIZIONE columns being selected and given a custom caption ('Cod Forni...'), matching the described column-mapping demo."
3,00:27:06,tutorial-step,Configure a per-task filter on a group variable,003_002706_configure-a-per-task-filter-on-a-group-variable.jpg,vision-verified,003_002706_configure-a-per-task-filter-on-a-group-variable__c0_t1626.jpg,Shows the 'Editor gruppo' dialog (window titled VALUTAZIONE PREVENTIVI TIPO A) with 'Abilita aggiunta'/'Abilita eliminazione' checkboxes and Filtro fields for the per-task group filter.
4,00:30:43,tip,Helper variable workaround for debugging formulas,004_003043_helper-variable-workaround-for-debugging-formulas.jpg,vision-verified,004_003043_helper-variable-workaround-for-debugging-formulas__c2_t1891.jpg,"Shows both throwaway helper fields 'PRESENZA TIPO A' and 'PRESENZA TIPO B' added to the form, matching the described debugging workaround."
5,00:34:15,tutorial-step,VB-script loop over group rows (worked example),005_003415_vb-script-loop-over-group-rows-worked-example.jpg,vision-verified,005_003415_vb-script-loop-over-group-rows-worked-example__c5_t2175.jpg,"Shows the completed VB script 'Dim i As Integer / For i = 0 To @[LISTA PREVENTIVI].Count / If @[TipoPreventivo](i)=""TIPO A"" Then / Return True', exactly the worked example described."
6,00:39:44,definition,Global validation formula vs field-level validation,006_003944_global-validation-formula-vs-field-level-validatio.jpg,vision-verified,006_003944_global-validation-formula-vs-field-level-validatio__c0_t2384.jpg,"Shows the activity-level right-click context menu with 'Formula di validazione' as an activity property, i.e. the global (whole-screen) validation formula distinct from a field's own validation formula."
7,00:43:44,definition,"Legacy sync bar object (""sbarra di sincronizzazione"")",007_004344_legacy-sync-bar-object-sbarra-di-sincronizzazione.jpg,vision-verified,007_004344_legacy-sync-bar-object-sbarra-di-sincronizzazione__c4_t2710.jpg,"Shows the sync-bar object fully wired between the two parallel 'VALUTAZIONE PREVENTIVI' activities and the 'CONCLUSIONE ATTIVITA' step, joining both parallel branches before continuing."
8,00:45:34,tip,ALL vs ALL PLANNED gotcha on sync bars,008_004534_all-vs-all-planned-gotcha-on-sync-bars.jpg,vision-verified,008_004534_all-vs-all-planned-gotcha-on-sync-bars__c4_t2801.jpg,"Shows the sync bar's properties panel with the 'Number to pass' field set to 'ALL PLANNED', the exact setting the gotcha discusses."
9,00:47:00,definition,"Three modern gateway types: exclusive, parallel, inclusive",009_004700_three-modern-gateway-types-exclusive-parallel-incl.jpg,vision-verified,009_004700_three-modern-gateway-types-exclusive-parallel-incl__c3_t2892.jpg,"Shows the 'Percorsi liberi (inclusive)' gateway type highlighted in the toolbox with an inclusive-gateway diamond placed on the canvas, illustrating one of the three gateway types being introduced."
10,00:52:39,concept-intro,"Purely graphical objects: text box, image, page setup",010_005239_purely-graphical-objects-text-box-image-page-setup.jpg,vision-verified,010_005239_purely-graphical-objects-text-box-image-page-setup__c5_t3279.jpg,"Shows the print preview (Anteprima di stampa) of the diagram with a styled title text box, demonstrating the purely cosmetic/printable page-setup aspect described."
11,00:58:20,definition,Marker object for multi-page process navigation,011_005820_marker-object-for-multi-page-process-navigation.jpg,vision-verified,011_005820_marker-object-for-multi-page-process-navigation__c4_t3586.jpg,"Shows the 'Marker' tool selected in the toolbox with a marker object (numbered '0') placed on a second page and linked to an activity, illustrating the marker's role as a page link."
12,01:00:10,concept-intro,Swim lanes introduced,012_010010_swim-lanes-introduced.jpg,vision-verified,012_010010_swim-lanes-introduced__c4_t3706.jpg,"Shows the process diagram laid out inside three named swim lanes (Lane 1, Lane 2, Lane 3) with the Swim lane tool selected, directly depicting the concept being introduced."
13,01:06:00,definition,"Swim lane inherits ""utenti responsabili"" to its tasks",013_010600_swim-lane-inherits-utenti-responsabili-to-its-task.jpg,vision-verified,013_010600_swim-lane-inherits-utenti-responsabili-to-its-task__c1_t3977.jpg,"Shows a swim lane's right-click context menu with 'Utenti e responsabili...' highlighted, the dialog used to set the responsible users that lane-contained tasks inherit."
14,01:07:28,example,Real project: zig-zag swim-lane process,014_010728_real-project-zig-zag-swim-lane-process.jpg,vision-verified,014_010728_real-project-zig-zag-swim-lane-process__c1_t4072.jpg,"Shows a real multi-department process (UFFICIO COMMERCIALE/TECNICO/ACQUISTI/QUALITA'/PRODUZIONE) with swim lanes and flows zig-zagging repeatedly between them, matching the described real project example."
15,01:15:37,concept-intro,Multiple start events in one process,015_011537_multiple-start-events-in-one-process.jpg,vision-verified,015_011537_multiple-start-events-in-one-process__c3_t4549.jpg,"Shows two separate green Start circles on the same diagram (one connected to the existing flow, one newly placed), illustrating a process with multiple distinct start events."
16,01:16:00,demo-start,Building two start events: normal vs. security,016_011600_building-two-start-events-normal-vs-security.jpg,vision-verified,016_011600_building-two-start-events-normal-vs-security__c4_t4656.jpg,"Shows two labeled start events on the canvas, 'INSERIMENTO RICHIESTA SICUREZZA' and 'INSERIMENTO RICHIESTA NORMALE', directly depicting the two starts being built."
17,01:22:05,definition,"""Start a tempo"" — scheduled/timed start event",017_012205_start-a-tempo-scheduled-timed-start-event.jpg,vision-verified,017_012205_start-a-tempo-scheduled-timed-start-event__c1_t4944.jpg,"Shows the timed-start configuration dialog set to 'Ricorre ogni mese, il PRIMO LUNEDI ... Alle ore 08:00', matching the described first-Monday-of-the-month-at-8:00 example."
18,01:23:44,definition,"""Attesa"" (wait) event",018_012344_attesa-wait-event.jpg,vision-verified,018_012344_attesa-wait-event__c1_t5048.jpg,"Shows the 'Attesa' (wait) tool selected with a WaitObject placed in the flow after 'VALUTAZIONE DEI PREVENTIVI', including its 'Configurazione attesa' property."
19,01:26:00,definition,"""Fine"" vs ""Termina Processo"" distinction",019_012600_fine-vs-termina-processo-distinction.jpg,vision-verified,019_012600_fine-vs-termina-processo-distinction__c4_t5256.jpg,"Shows the 'Termina processo' tool highlighted with its red terminate-process icon connected at the end of a branch, illustrating the process-killing object contrasted with the plain 'Fine' marker."
20,01:28:10,definition,Timeout/escalation boundary event,020_012810_timeout-escalation-boundary-event.jpg,vision-verified,020_012810_timeout-escalation-boundary-event__c5_t5410.jpg,"Shows a timer boundary event attached to the corner of the 'SCELTA PREVENTIVO' task with an arrow leading to a new 'SOLLECITO' (reminder) task, exactly depicting a timeout/escalation boundary event."
21,01:30:34,concept-intro,"""Operations"" — automatic system activities",021_013034_operations-automatic-system-activities.jpg,vision-verified,021_013034_operations-automatic-system-activities__c1_t5458.jpg,"Shows the expanded 'Operazioni' palette listing the draggable automatic system operations (send mail, create linked process, SQL, etc.) referenced by the title."
22,01:34:06,tutorial-step,Building an email notification template,022_013406_building-an-email-notification-template.jpg,vision-verified,022_013406_building-an-email-notification-template__c4_t5742.jpg,"Shows the 'Modello email' template editor open with Nome, Descrizione, Subject, Destinatari and Destinatari cc fields being configured, matching the demo of building a mail template."
23,01:41:00,definition,"""Attivazione"" vs ""inizio"" (activation vs start)",023_014100_attivazione-vs-inizio-activation-vs-start.jpg,vision-verified,023_014100_attivazione-vs-inizio-activation-vs-start__c0_t6060.jpg,"Shows the OPERAZIONI popup listing 'Attivazione task' and 'Inizio task' as distinct adjacent items, directly illustrating the activation-vs-start distinction."
